Date,Product Visitors (Visits),Product Page Views,Products Visited,Visitors Viewed Without Purchase,Visitors Viewed Without Purchase Rate,Search Clicks,Likes,Product Visitors (Added to Cart),Added to Cart (Products),Product Add-to-Cart Conversion Rate,Total Buyers (Orders Created),Products (Orders Created),Products Ordered,Total Sales (Orders Created) (IDR),Order Conversion Rate (Orders Created),Total Buyers (Orders Ready to Ship),Products (Orders Ready to Ship),Products Ready to Ship,Sales (Orders Ready to Ship) (IDR),Order Conversion Rate (Orders Ready to Ship),Order Conversion Rate (Orders Ready to Ship รท Orders Created),Source_File,Category,Processed_Date
Tanggal,Pengunjung Produk (Kunjungan),Halaman Produk Dilihat,Produk Dikunjungi,Pengunjung Melihat Tanpa Membeli,,Klik Pencarian,Suka,Pengunjung Produk (Menambahkan Produk ke Keranjang),Dimasukkan ke Keranjang (Produk),,Total Pembeli (Pesanan Dibuat),Produk (Pesanan Dibuat),Produk Dipesan,,,Total Pembeli (Pesanan Siap Dikirim),Produk (Pesanan Siap Dikirim),Produk Siap Dikirim,,,,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-01,1203.0,3255.0,59.0,307.0,0.2552,654.0,226.0,264.0,646.0,0.2195,75.0,213.0,19.0,8113698.0,0.0623,71.0,199.0,19.0,7402559.0,0.059,0.9467,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-02,1233.0,3320.0,54.0,330.0,0.2676,611.0,202.0,251.0,614.0,0.2036,61.0,145.0,19.0,7084533.0,0.0495,63.0,148.0,20.0,7522671.0,0.0511,1.0328,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-03,1245.0,3477.0,58.0,345.0,0.2771,622.0,217.0,276.0,665.0,0.2217,72.0,178.0,21.0,8406195.0,0.0578,70.0,165.0,21.0,7676861.0,0.0562,0.9722,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-04,1419.0,3676.0,59.0,384.0,0.2706,701.0,258.0,270.0,801.0,0.1903,81.0,161.0,23.0,10750590.0,0.0571,80.0,159.0,23.0,10524395.0,0.0564,0.9877,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-05,1476.0,4002.0,59.0,447.0,0.3028,764.0,267.0,282.0,627.0,0.1911,70.0,172.0,23.0,7774667.0,0.0474,67.0,156.0,22.0,7172875.0,0.0454,0.9571,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-06,1507.0,4156.0,57.0,474.0,0.3145,793.0,255.0,299.0,598.0,0.1984,71.0,130.0,19.0,7123744.0,0.0471,69.0,126.0,19.0,6739069.0,0.0458,0.9718,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-07,1620.0,4785.0,63.0,430.0,0.2653999999999999,929.0,324.0,330.0,632.0,0.2037,78.0,165.0,19.0,10575923.0,0.0481,74.0,153.0,19.0,10349072.0,0.0457,0.9487,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-08,1761.0,4709.0,58.0,550.0,0.3123,957.0,318.0,386.0,1078.0,0.2192,98.0,196.0,16.0,9076313.0,0.0557,96.0,195.0,18.0,8223950.0,0.0545,0.9796,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-09,2510.0,6871.0,61.0,673.0,0.2681,1302.0,524.0,557.0,1614.0,0.2219,197.0,396.0,30.0,37351609.0,0.0785,182.0,364.0,27.0,32620624.0,0.0725,0.9239,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-10,1906.0,4837.0,60.0,623.0,0.3268999999999999,1091.0,291.0,298.0,735.0,0.1563,70.0,157.0,19.0,7849355.0,0.0366999999999999,71.0,147.0,20.0,8434929.0,0.0373,1.0143,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-11,1968.0,4811.0,58.0,599.0,0.3044,1172.0,304.0,365.0,840.0,0.1855,93.0,194.0,22.0,8928104.0,0.0473,89.0,190.0,22.0,8253878.0,0.0452,0.957,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-12,1830.0,4662.0,56.0,537.0,0.2934,1112.0,278.0,345.0,960.0,0.1885,81.0,239.0,19.0,8587890.0,0.0443,81.0,237.0,19.0,8792591.0,0.0443,1.0,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-13,1716.0,4858.0,57.0,475.0,0.2768,1017.0,310.0,336.0,904.0,0.1957999999999999,69.0,119.0,18.0,8956356.0,0.0401999999999999,69.0,118.0,18.0,8486930.0,0.0401999999999999,1.0,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-14,2026.0,5377.0,61.0,576.0,0.2843,1144.0,386.0,383.0,819.0,0.1889999999999999,87.0,203.0,17.0,13003927.0,0.0429,83.0,179.0,16.0,10706532.0,0.0409999999999999,0.954,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-15,1835.0,4704.0,58.0,547.0,0.2981,1013.0,302.0,375.0,935.0,0.2044,109.0,274.0,16.0,11146412.0,0.0594,106.0,263.0,17.0,10531399.0,0.0578,0.9725,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-16,1901.0,5029.0,57.0,524.0,0.2756,1129.0,324.0,361.0,818.0,0.1898999999999999,75.0,237.0,14.0,6773313.0,0.0395,74.0,235.0,14.0,7265909.0,0.0389,0.9867,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-17,1943.0,5061.0,57.0,572.0,0.2944,1160.0,320.0,368.0,899.0,0.1894,94.0,206.0,22.0,11657828.0,0.0484,89.0,198.0,21.0,10453248.0,0.0458,0.9468,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-18,2081.0,5453.0,53.0,606.0,0.2912,1312.0,366.0,423.0,1029.0,0.2032999999999999,108.0,273.0,20.0,13434405.0,0.0519,105.0,264.0,20.0,13367209.0,0.0504999999999999,0.9722,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-19,1994.0,5180.0,62.0,559.0,0.2803,1186.0,364.0,365.0,901.0,0.183,101.0,217.0,23.0,15505046.0,0.0507,96.0,206.0,21.0,11717222.0,0.0481,0.9505,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-20,1603.0,4410.0,54.0,461.0,0.2876,939.0,272.0,297.0,800.0,0.1853,61.0,140.0,12.0,4780368.0,0.0381,59.0,133.0,12.0,4713165.0,0.0368,0.9672,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-21,2115.0,5776.0,57.0,577.0,0.2728,1338.0,387.0,368.0,1100.0,0.174,84.0,154.0,20.0,12436748.0,0.0397,82.0,150.0,20.0,11865281.0,0.0388,0.9762,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-22,1972.0,4849.0,56.0,524.0,0.2657,1125.0,356.0,351.0,783.0,0.178,93.0,210.0,21.0,12674766.0,0.0472,91.0,191.0,21.0,11720636.0,0.0461,0.9785,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-23,1670.0,4271.0,58.0,474.0,0.2838,1008.0,320.0,302.0,733.0,0.1808,85.0,180.0,21.0,14025091.0,0.0509,83.0,169.0,20.0,13246240.0,0.0496999999999999,0.9765,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-24,1522.0,3853.0,58.0,431.0,0.2832,940.0,263.0,287.0,639.0,0.1886,73.0,117.0,16.0,7655239.0,0.048,69.0,110.0,16.0,7396373.0,0.0453,0.9452,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-25,2072.0,5698.0,57.0,541.0,0.2611,1107.0,370.0,422.0,1076.0,0.2037,113.0,391.0,27.0,18733277.0,0.0545,106.0,370.0,26.0,17924584.0,0.0512,0.9381,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-26,1449.0,3857.0,57.0,416.0,0.2871,712.0,237.0,280.0,657.0,0.1932,53.0,125.0,21.0,8626512.0,0.0366,51.0,126.0,22.0,7965026.0,0.0352,0.9623,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-27,1685.0,4467.0,60.0,485.0,0.2878,902.0,292.0,326.0,831.0,0.1935,83.0,193.0,18.0,8188929.0,0.0493,82.0,184.0,18.0,8187904.0,0.0487,0.988,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-28,1917.0,5386.0,59.0,498.0,0.2598,1129.0,373.0,369.0,784.0,0.1925,92.0,234.0,20.0,12387048.0,0.048,90.0,231.0,20.0,12131189.0,0.0469,0.9783,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-29,2140.0,5762.0,59.0,621.0,0.2902,1150.0,392.0,401.0,921.0,0.1873999999999999,89.0,177.0,20.0,14683529.0,0.0416,84.0,166.0,20.0,13524970.0,0.0393,0.9438,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
2025-09-30,1806.0,5070.0,56.0,477.0,0.2641,989.0,342.0,361.0,1115.0,0.1999,100.0,293.0,23.0,15362715.0,0.0554,99.0,279.0,23.0,15473041.0,0.0548,0.99,productoverview20250901-20250930.xlsx,product overview,2025-11-05 17:35:15
